Date,Open,Close
2022-08-01,157.25,159.93
2022-08-02,158.31,160.19
2022-08-03,162.69,168.8
2022-08-04,168.295,170.57
2022-08-05,166.99,167.11
2022-08-08,168.0,170.25
2022-08-09,168.95,168.53
2022-08-10,175.99,178.34
2022-08-11,179.71,177.49
2022-08-12,180.81,180.5
2022-08-15,178.96,180.89
2022-08-16,179.44,179.47
2022-08-17,176.76,174.85
2022-08-18,174.34,174.66
2022-08-19,170.2,167.96
2022-08-22,165.49,163.05
2022-08-23,162.48,161.11
2022-08-24,160.6,163.26
2022-08-25,165.18,168.78
2022-08-26,168.48,161.78
2022-08-29,160.655,159.17
2022-08-30,160.355,157.16
2022-08-31,167.07,162.93
2022-09-01,163.58,165.36
2022-09-02,167.45,160.32
2022-09-06,160.1,158.54
2022-09-07,157.76,160.39
2022-09-08,158.71,162.06
2022-09-09,163.248,169.15
2022-09-12,167.39,168.96
2022-09-13,161.54,153.13
2022-09-14,153.33,151.47
2022-09-15,149.8,149.55
2022-09-16,148.05,146.29
2022-09-19,145.235,148.02
2022-09-20,145.775,146.09
2022-09-21,146.39,142.12
2022-09-22,141.55,142.82
2022-09-23,141.42,140.41
2022-09-26,140.12,136.37
2022-09-27,137.92,134.4
2022-09-28,134.62,141.61
2022-09-29,139.36,136.41
2022-09-30,136.05,135.68
2022-10-03,137.14,138.61
2022-10-04,140.49,140.28
2022-10-05,138.24,138.98
2022-10-06,137.715,139.07
2022-10-07,136.76,133.45
2022-10-10,133.55,133.79
2022-10-11,131.62,128.54
2022-10-12,128.32,127.5
2022-10-13,123.53,130.29
2022-10-14,131.0,126.76
2022-10-17,130.3,134.04
2022-10-18,137.085,132.8
2022-10-19,132.89,133.23
2022-10-20,132.93,131.53
2022-10-21,126.31,130.01
2022-10-24,127.25,129.72
2022-10-25,130.875,137.51
2022-10-26,131.68,129.82
2022-10-27,97.975,97.94
2022-10-28,99.58,99.2
2022-10-31,98.22,93.16
2022-11-01,94.33,95.2
2022-11-02,94.205,90.54
2022-11-03,90.08,88.91
2022-11-04,90.35,90.79
2022-11-07,94.78,96.72
2022-11-08,95.92,96.47
2022-11-09,101.72,101.47
2022-11-10,107.12,111.87
2022-11-11,109.23,113.02
2022-11-14,110.99,114.22
2022-11-15,116.07,117.08
2022-11-16,114.5,113.23
2022-11-17,110.41,111.45
2022-11-18,113.8,112.05
2022-11-21,111.52,109.86
2022-11-22,109.86,111.44
2022-11-23,111.72,112.24
2022-11-25,111.3,111.41
2022-11-28,110.78,108.78
2022-11-29,109.54,109.46
2022-11-30,109.505,118.1
2022-12-01,119.198,120.44
2022-12-02,117.83,123.49
2022-12-05,121.75,122.43
2022-12-06,119.91,114.12
2022-12-07,113.76,113.93
2022-12-08,116.39,115.33
2022-12-09,115.3,115.9
2022-12-12,115.18,114.71
2022-12-13,122.13,120.15
2022-12-14,119.39,121.59
2022-12-15,118.33,116.15
2022-12-16,120.23,119.43
2022-12-19,116.83,114.48
2022-12-20,113.26,117.09
2022-12-21,116.7,119.76
2022-12-22,117.2,117.12
2022-12-23,116.03,118.04
2022-12-27,117.93,116.88
2022-12-28,116.25,115.62
2022-12-29,116.4,120.26
2022-12-30,118.16,120.34
2023-01-03,122.82,124.74
2023-01-04,127.38,127.37
2023-01-05,126.125,126.94
2023-01-06,128.97,130.02
2023-01-09,131.16,129.47
2023-01-10,127.27,132.99
2023-01-11,130.96,132.89
2023-01-12,133.44,136.71
2023-01-13,134.97,136.98
2023-01-17,136.176,135.36
2023-01-18,135.81,133.02
2023-01-19,132.49,136.15
2023-01-20,135.89,139.37
2023-01-23,139.29,143.27
2023-01-24,141.69,143.14
2023-01-25,141.22,141.5
2023-01-26,144.4,147.3
2023-01-27,148.237,151.74
2023-01-30,149.405,147.06
2023-01-31,147.95,148.97
2023-02-01,148.03,153.12
2023-02-02,183.38,188.77
2023-02-03,183.465,186.53
2023-02-06,186.53,186.06
2023-02-07,185.575,191.62
2023-02-08,190.0,183.43
2023-02-09,186.13,177.92
2023-02-10,176.3534,174.15
2023-02-13,178.215,179.43
2023-02-14,177.16,179.48
2023-02-15,176.415,177.16
2023-02-16,172.75,172.44
2023-02-17,170.22,172.88
2023-02-21,174.31,172.08
2023-02-22,171.07,171.12
2023-02-23,172.0,172.04
2023-02-24,168.64,170.39
2023-02-27,171.875,169.54
2023-02-28,171.9,174.94
2023-03-01,174.59,173.42
2023-03-02,172.38,174.53
2023-03-03,178.92,185.25
2023-03-06,188.0,184.9
2023-03-07,189.0,184.51
2023-03-08,182.87,184.97
2023-03-09,186.35,181.69
2023-03-10,181.01,179.51
2023-03-13,177.96,180.9
2023-03-14,187.58,194.02
2023-03-15,192.95,197.75
2023-03-16,198.26,204.93
2023-03-17,200.56,195.61
2023-03-20,198.48,197.81
2023-03-21,203.2,202.16
2023-03-22,202.5,199.81
2023-03-23,202.84,204.28
2023-03-24,205.18,206.01
2023-03-27,204.81,202.84
2023-03-28,200.15,200.68
2023-03-29,203.56,205.35
2023-03-30,203.38,207.84
2023-03-31,207.24,211.94
2023-04-03,208.84,213.07
2023-04-04,213.39,214.72
2023-04-05,214.15,211.48
2023-04-06,209.25,216.1
2023-04-10,214.71,214.75
2023-04-11,215.48,213.85
2023-04-12,214.835,214.0
2023-04-13,215.73,220.35
2023-04-14,217.88,221.49
2023-04-17,219.79,218.86
2023-04-18,219.91,217.89
2023-04-19,213.472,215.7
2023-04-20,213.48,213.07
2023-04-21,210.21,212.89
2023-04-24,213.675,212.79
2023-04-25,210.815,207.55
2023-04-26,212.5,209.4
2023-04-27,239.89,238.56
2023-04-28,239.01,240.32
2023-05-01,238.615,243.18
2023-05-02,243.18,239.24
2023-05-03,239.47,237.03
2023-05-04,236.06,233.52
2023-05-05,232.24,232.78
2023-05-08,231.415,233.27
2023-05-09,231.46,233.37
2023-05-10,236.17,233.08
2023-05-11,233.05,235.79
2023-05-12,236.74,233.81
2023-05-15,236.92,238.86
2023-05-16,235.79,238.82
2023-05-17,238.45,242.485
2023-05-18,241.3,246.85
2023-05-19,247.47,245.64
2023-05-22,245.41,248.32
2023-05-23,246.81,246.74
2023-05-24,245.28,249.21
2023-05-25,253.4,252.69
2023-05-26,252.93,262.04
2023-05-30,265.25,262.52
2023-05-31,260.0,264.72
2023-06-01,265.9,272.61
2023-06-02,272.66,272.61
2023-06-05,270.3,271.39
2023-06-06,270.14,271.12
2023-06-07,271.67,263.6
2023-06-08,260.62,264.58
2023-06-09,262.48,264.95
2023-06-12,267.17,271.05
2023-06-13,274.88,271.32
2023-06-14,271.89,273.35
2023-06-15,272.3,281.83
2023-06-16,284.75,281.0
2023-06-20,278.73,284.33
2023-06-21,283.53,281.64
2023-06-22,279.08,284.88
2023-06-23,281.51,288.73
