Date,Open,Close
2023-01-05,87.47,86.2
2023-01-06,86.79,87.34
2023-01-09,88.36,88.02
2023-01-10,85.98,88.42
2023-01-11,89.18,91.52
2023-01-12,91.48,91.13
2023-01-13,90.85,92.12
2023-01-17,92.06,91.29
2023-01-18,92.14,91.12
2023-01-19,90.72,93.05
2023-01-20,95.1,98.02
2023-01-23,97.95,99.79
2023-01-24,98.1,97.7
2023-01-25,95.57,95.22
2023-01-26,96.5,97.52
2023-01-27,97.31,99.37
2023-01-30,97.48,96.94
2023-01-31,96.87,98.84
2023-02-01,98.71,100.43
2023-02-02,105.8,107.74
2023-02-03,102.93,104.78
2023-02-06,102.4,102.9
2023-02-07,103.22,107.64
2023-02-08,102.05,99.37
2023-02-09,100.0,95.01
2023-02-10,95.45,94.57
2023-02-13,94.74,94.61
2023-02-14,94.43,94.68
2023-02-15,94.49,96.94
2023-02-16,95.37,95.51
2023-02-17,94.85,94.35
2023-02-21,93.0,91.79
2023-02-22,91.7,91.65
2023-02-23,91.92,90.89
2023-02-24,89.44,89.13
2023-02-27,89.87,89.87
2023-02-28,89.33,90.06
2023-03-01,89.98,90.36
2023-03-02,89.66,92.0
2023-03-03,92.48,93.65
2023-03-06,94.015,95.13
2023-03-07,94.98,93.86
2023-03-08,94.12,94.25
2023-03-09,94.05,92.32
2023-03-10,92.17,90.63
2023-03-13,90.09,91.11
2023-03-14,92.56,93.97
2023-03-15,93.22,96.11
2023-03-16,96.2,100.32
2023-03-17,100.26,101.62
2023-03-20,100.12,101.22
2023-03-21,101.25,104.92
2023-03-22,104.27,103.37
2023-03-23,105.06,105.6
2023-03-24,104.99,105.44
2023-03-27,104.615,102.46
2023-03-28,102.44,101.03
2023-03-29,102.28,101.39
2023-03-30,100.91,100.89
2023-03-31,101.3,103.73
2023-04-03,102.39,104.36
2023-04-04,104.33,104.72
2023-04-05,105.78,104.47
2023-04-06,105.26,108.42
2023-04-10,106.98,106.44
2023-04-11,106.55,105.35
2023-04-12,106.58,104.64
2023-04-13,105.84,107.43
2023-04-14,106.89,108.87
2023-04-17,104.658,105.97
2023-04-18,106.49,104.5
2023-04-19,103.58,104.18
2023-04-20,103.91,105.29
2023-04-21,105.47,105.41
2023-04-24,105.49,105.97
2023-04-25,105.825,103.85
2023-04-26,104.92,103.71
2023-04-27,104.45,107.59
2023-04-28,107.04,107.34
2023-05-01,106.84,107.2
2023-05-02,107.14,105.32
2023-05-03,105.53,105.41
2023-05-04,105.485,104.69
2023-05-05,104.82,105.57
2023-05-08,105.18,107.77
2023-05-09,108.39,107.35
2023-05-10,107.97,111.75
2023-05-11,115.395,116.57
2023-05-12,116.68,117.51
2023-05-15,116.11,116.51
2023-05-16,116.49,119.51
2023-05-17,119.61,120.84
2023-05-18,120.95,122.83
2023-05-19,123.55,122.76
2023-05-22,122.94,125.05
2023-05-23,124.16,122.56
2023-05-24,121.12,120.9
2023-05-25,124.52,123.48
2023-05-26,123.17,124.61
2023-05-30,125.64,123.67
2023-05-31,122.75,122.87
2023-06-01,122.815,123.72
2023-06-02,123.99,124.67
2023-06-05,124.01,126.01
2023-06-06,126.01,127.31
2023-06-07,126.97,122.5
2023-06-08,122.225,122.14
2023-06-09,122.25,122.23
2023-06-12,122.785,123.64
2023-06-13,124.98,123.83
2023-06-14,123.1,123.67
2023-06-15,123.14,125.09
2023-06-16,125.93,123.53
2023-06-20,122.93,123.1
2023-06-21,122.4,120.55
2023-06-22,120.0,123.15
2023-06-23,121.38,122.34
2023-06-26,120.76,118.34
2023-06-27,117.08,118.33
2023-06-28,117.09,120.18
2023-06-29,119.24,119.1
2023-06-30,120.17,119.7
2023-07-03,119.24,119.9
2023-07-05,119.24,121.75
2023-07-06,119.795,120.11
2023-07-07,120.1,119.48
2023-07-10,118.3,116.45
2023-07-11,116.29,117.14
2023-07-12,118.8,118.93
