Date,Open,Close
2022-08-01,161.01,161.51
2022-08-02,160.1,160.01
2022-08-03,160.84,166.13
2022-08-04,166.005,165.81
2022-08-05,163.21,165.35
2022-08-08,166.37,164.87
2022-08-09,164.02,164.92
2022-08-10,167.68,169.24
2022-08-11,170.06,168.49
2022-08-12,169.82,172.1
2022-08-15,171.52,173.19
2022-08-16,172.78,173.03
2022-08-17,172.77,174.55
2022-08-18,173.75,174.15
2022-08-19,173.03,171.52
2022-08-22,169.69,167.57
2022-08-23,167.08,167.23
2022-08-24,167.32,167.53
2022-08-25,168.78,170.03
2022-08-26,170.57,163.62
2022-08-29,161.145,161.38
2022-08-30,162.13,158.91
2022-08-31,160.305,157.22
2022-09-01,156.64,157.96
2022-09-02,159.75,155.81
2022-09-06,156.47,154.53
2022-09-07,154.825,155.96
2022-09-08,154.64,154.46
2022-09-09,155.47,157.37
2022-09-12,159.59,163.43
2022-09-13,159.9,153.84
2022-09-14,154.785,155.31
2022-09-15,154.65,152.37
2022-09-16,151.21,150.7
2022-09-19,149.31,154.48
2022-09-20,153.4,156.9
2022-09-21,157.34,153.72
2022-09-22,152.38,152.74
2022-09-23,151.19,150.43
2022-09-26,149.66,150.77
2022-09-27,152.74,151.76
2022-09-28,147.64,149.84
2022-09-29,146.1,142.48
2022-09-30,141.28,138.2
2022-10-03,138.21,142.45
2022-10-04,145.03,146.1
2022-10-05,144.075,146.4
2022-10-06,145.81,145.43
2022-10-07,142.54,140.09
2022-10-10,140.42,140.42
2022-10-11,139.9,138.98
2022-10-12,139.13,138.34
2022-10-13,134.99,142.99
2022-10-14,144.31,138.38
2022-10-17,141.065,142.41
2022-10-18,145.49,143.75
2022-10-19,141.69,143.86
2022-10-20,143.02,143.39
2022-10-21,142.87,147.27
2022-10-24,147.185,149.45
2022-10-25,150.09,152.34
2022-10-26,150.96,149.35
2022-10-27,148.07,144.8
2022-10-28,148.2,155.74
2022-10-31,153.155,153.34
2022-11-01,155.08,150.65
2022-11-02,148.945,145.03
2022-11-03,142.06,138.88
2022-11-04,142.09,138.38
2022-11-07,137.11,138.92
2022-11-08,140.41,139.5
2022-11-09,138.5,134.87
2022-11-10,141.24,146.87
2022-11-11,145.82,149.7
2022-11-14,148.97,148.28
2022-11-15,152.215,150.04
2022-11-16,149.13,148.79
2022-11-17,146.43,150.72
2022-11-18,152.305,151.29
2022-11-21,150.16,148.01
2022-11-22,148.13,150.18
2022-11-23,149.45,151.07
2022-11-25,148.305,148.11
2022-11-28,145.14,144.22
2022-11-29,144.29,141.17
2022-11-30,141.395,148.03
2022-12-01,148.21,148.31
2022-12-02,145.96,147.81
2022-12-05,147.77,146.63
2022-12-06,147.075,142.91
2022-12-07,142.19,140.94
2022-12-08,142.36,142.65
2022-12-09,142.34,142.16
2022-12-12,142.7,144.49
2022-12-13,149.5,145.47
2022-12-14,145.35,143.21
2022-12-15,141.11,136.5
2022-12-16,136.685,134.51
2022-12-19,135.11,132.37
2022-12-20,131.39,132.3
2022-12-21,132.98,135.45
2022-12-22,134.352,132.23
2022-12-23,130.92,131.86
2022-12-27,131.38,130.03
2022-12-28,129.67,126.04
2022-12-29,127.99,129.61
2022-12-30,128.41,129.93
2023-01-03,130.28,125.07
2023-01-04,126.89,126.36
2023-01-05,127.13,125.02
2023-01-06,126.01,129.62
2023-01-09,130.465,130.15
2023-01-10,130.26,130.73
2023-01-11,131.25,133.49
2023-01-12,133.88,133.41
2023-01-13,132.03,134.76
2023-01-17,134.83,135.94
2023-01-18,136.815,135.21
2023-01-19,134.08,135.27
2023-01-20,135.28,137.87
2023-01-23,138.12,141.11
2023-01-24,140.305,142.53
2023-01-25,140.89,141.86
2023-01-26,143.17,143.96
2023-01-27,143.155,145.93
2023-01-30,144.955,143.0
2023-01-31,142.7,144.29
2023-02-01,143.97,145.43
2023-02-02,148.9,150.82
2023-02-03,148.03,154.5
2023-02-06,152.575,151.73
2023-02-07,150.64,154.65
2023-02-08,153.88,151.92
2023-02-09,153.775,150.87
2023-02-10,149.46,151.01
2023-02-13,150.952,153.85
2023-02-14,152.12,153.2
2023-02-15,153.11,155.33
2023-02-16,153.51,153.71
2023-02-17,152.35,152.55
2023-02-21,150.2,148.48
2023-02-22,148.87,148.91
2023-02-23,150.09,149.4
2023-02-24,147.11,146.71
2023-02-27,147.71,147.92
2023-02-28,147.05,147.41
2023-03-01,146.83,145.31
2023-03-02,144.38,145.91
2023-03-03,148.045,151.03
2023-03-06,153.785,153.83
2023-03-07,153.7,151.6
2023-03-08,152.81,152.87
2023-03-09,153.559,150.59
2023-03-10,150.21,148.5
2023-03-13,147.805,150.47
2023-03-14,151.28,152.59
2023-03-15,151.19,152.99
2023-03-16,152.16,155.85
2023-03-17,156.08,155.0
2023-03-20,155.07,157.4
2023-03-21,157.32,159.28
2023-03-22,159.3,157.83
2023-03-23,158.83,158.93
2023-03-24,158.86,160.25
2023-03-27,159.94,158.28
2023-03-28,157.97,157.65
2023-03-29,159.37,160.77
2023-03-30,161.53,162.36
2023-03-31,162.44,164.9
2023-04-03,164.27,166.17
2023-04-04,166.595,165.63
2023-04-05,164.74,163.76
2023-04-06,162.43,164.66
2023-04-10,161.42,162.03
2023-04-11,162.35,160.8
2023-04-12,161.22,160.1
2023-04-13,161.63,165.56
2023-04-14,164.59,165.21
2023-04-17,165.09,165.23
2023-04-18,166.1,166.47
2023-04-19,165.8,167.63
2023-04-20,166.09,166.65
2023-04-21,165.05,165.02
2023-04-24,165.0,165.33
2023-04-25,165.19,163.77
2023-04-26,163.055,163.76
2023-04-27,165.19,168.41
2023-04-28,168.49,169.68
2023-05-01,169.28,169.59
2023-05-02,170.09,168.54
2023-05-03,169.5,167.45
2023-05-04,164.89,165.79
2023-05-05,170.975,173.57
2023-05-08,172.48,173.5
2023-05-09,173.05,171.77
2023-05-10,173.02,173.555
2023-05-11,173.85,173.75
2023-05-12,173.62,172.57
2023-05-15,173.16,172.07
2023-05-16,171.99,172.07
2023-05-17,171.71,172.69
2023-05-18,173.0,175.05
2023-05-19,176.39,175.16
2023-05-22,173.98,174.2
2023-05-23,173.13,171.56
2023-05-24,171.09,171.84
2023-05-25,172.41,172.99
2023-05-26,173.32,175.43
2023-05-30,176.96,177.3
2023-05-31,177.325,177.25
2023-06-01,177.7,180.09
2023-06-02,181.03,180.95
2023-06-05,182.63,179.58
2023-06-06,179.965,179.21
2023-06-07,178.44,177.82
2023-06-08,177.895,180.57
2023-06-09,181.5,180.96
2023-06-12,181.27,183.79
2023-06-13,182.8,183.31
2023-06-14,183.37,183.95
2023-06-15,183.96,186.01
2023-06-16,186.73,184.92
2023-06-20,184.41,185.01
2023-06-21,184.9,183.96
2023-06-22,183.74,187.0
2023-06-23,185.55,186.68
2023-06-26,186.83,185.27
2023-06-27,185.89,188.06
2023-06-28,187.93,189.25
2023-06-29,189.08,189.59
2023-06-30,191.63,193.97
2023-07-03,193.78,192.46
2023-07-05,191.565,191.33
2023-07-06,189.84,191.81
2023-07-07,191.41,190.68
2023-07-10,189.26,188.61
2023-07-11,189.16,188.08
2023-07-12,189.68,189.77
2023-07-13,190.5,190.54
2023-07-14,190.23,190.69
2023-07-17,191.9,193.99
2023-07-18,193.35,193.73
2023-07-19,193.1,195.1
2023-07-20,195.09,193.13
2023-07-21,194.1,191.94
2023-07-24,193.41,192.75
2023-07-25,193.33,193.62
2023-07-26,193.67,194.5
2023-07-27,196.02,193.22
2023-07-28,194.67,195.83
2023-07-31,196.06,196.45
2023-08-01,196.235,195.605
