Date,Open,Close
2022-08-01,134.96,135.39
2022-08-02,134.72,134.16
2022-08-03,136.21,139.52
2022-08-04,140.58,142.57
2022-08-05,140.1,140.8
2022-08-08,142.05,139.41
2022-08-09,138.052,137.83
2022-08-10,142.9,142.69
2022-08-11,143.86,140.64
2022-08-12,142.05,143.55
2022-08-15,142.8,143.18
2022-08-16,143.905,144.78
2022-08-17,142.69,142.1
2022-08-18,141.32,142.3
2022-08-19,140.47,138.23
2022-08-22,135.72,133.22
2022-08-23,133.41,133.62
2022-08-24,132.75,133.8
2022-08-25,135.26,137.28
2022-08-26,136.55,130.75
2022-08-29,129.9,129.79
2022-08-30,131.25,128.73
2022-08-31,129.45,126.77
2022-09-01,126.0,127.82
2022-09-02,129.5,127.51
2022-09-06,127.92,126.11
2022-09-07,126.12,129.48
2022-09-08,127.72,129.82
2022-09-09,130.91,133.27
2022-09-12,134.095,136.45
2022-09-13,131.01,126.82
2022-09-14,127.364,128.55
2022-09-15,127.38,126.28
2022-09-16,122.78,123.53
2022-09-19,122.16,124.66
2022-09-20,123.35,122.19
2022-09-21,122.49,118.54
2022-09-22,117.08,117.31
2022-09-23,116.0,113.78
2022-09-26,113.295,115.15
2022-09-27,117.195,114.41
2022-09-28,114.38,118.01
2022-09-29,115.6,114.8
2022-09-30,114.075,113.0
2022-10-03,113.58,115.88
2022-10-04,119.89,121.09
2022-10-05,118.58,120.95
2022-10-06,120.77,120.3
2022-10-07,118.0,114.56
2022-10-10,115.1,113.67
2022-10-11,112.71,112.21
2022-10-12,112.49,112.9
2022-10-13,107.88,112.53
2022-10-14,114.1,106.9
2022-10-17,110.11,113.79
2022-10-18,119.06,116.36
2022-10-19,114.71,115.07
2022-10-20,113.83,115.25
2022-10-21,114.792,119.32
2022-10-24,119.98,119.82
2022-10-25,119.65,120.6
2022-10-26,116.0,115.66
2022-10-27,113.92,110.96
2022-10-28,97.905,103.41
2022-10-31,103.56,102.44
2022-11-01,103.99,96.79
2022-11-02,97.315,92.12
2022-11-03,92.47,89.3
2022-11-04,91.49,90.98
2022-11-07,91.95,90.53
2022-11-08,90.79,89.98
2022-11-09,89.47,86.14
2022-11-10,92.935,96.63
2022-11-11,97.88,100.79
2022-11-14,98.77,98.49
2022-11-15,103.21,98.94
2022-11-16,96.85,97.12
2022-11-17,95.37,94.85
2022-11-18,95.95,94.14
2022-11-21,93.97,92.46
2022-11-22,92.62,93.2
2022-11-23,93.24,94.13
