Date,Open,Close
2022-08-01,277.82,278.01
2022-08-02,276.0,274.82
2022-08-03,276.76,282.47
2022-08-04,281.8,283.65
2022-08-05,279.15,282.91
2022-08-08,284.05,280.32
2022-08-09,279.64,282.3
2022-08-10,288.17,289.16
2022-08-11,290.85,287.02
2022-08-12,288.48,291.91
2022-08-15,291.0,293.47
2022-08-16,291.99,292.71
2022-08-17,289.74,291.32
2022-08-18,290.189,290.17
2022-08-19,288.9,286.15
2022-08-22,282.08,277.75
2022-08-23,276.44,276.44
2022-08-24,275.41,275.79
2022-08-25,277.33,278.85
2022-08-26,279.08,268.09
2022-08-29,265.85,265.23
2022-08-30,266.67,262.97
2022-08-31,265.39,261.47
2022-09-01,258.87,260.4
2022-09-02,261.695,256.06
2022-09-06,256.2,253.25
2022-09-07,254.7,258.09
2022-09-08,257.51,258.52
2022-09-09,260.5,264.46
2022-09-12,265.78,266.65
2022-09-13,258.84,251.99
2022-09-14,253.53,252.22
2022-09-15,249.77,245.38
2022-09-16,244.26,244.74
2022-09-19,242.465,244.52
2022-09-20,242.065,242.45
2022-09-21,244.27,238.95
2022-09-22,237.8704,240.98
2022-09-23,239.54,237.92
2022-09-26,237.045,237.45
2022-09-27,239.98,236.41
2022-09-28,236.81,241.07
2022-09-29,238.89,237.5
2022-09-30,238.29,232.9
2022-10-03,235.41,240.74
2022-10-04,245.09,248.88
2022-10-05,245.99,249.2
2022-10-06,247.93,246.79
2022-10-07,240.902,234.24
2022-10-10,233.05,229.25
2022-10-11,227.62,225.41
2022-10-12,225.4,225.75
2022-10-13,219.85,234.24
2022-10-14,235.54,228.56
2022-10-17,235.82,237.53
2022-10-18,243.24,238.5
2022-10-19,237.04,236.48
2022-10-20,235.77,236.15
2022-10-21,234.74,242.12
2022-10-24,243.76,247.25
2022-10-25,247.26,250.66
2022-10-26,231.17,231.32
2022-10-27,231.04,226.75
2022-10-28,226.24,235.87
2022-10-31,233.76,232.13
2022-11-01,234.6,228.17
2022-11-02,229.46,220.1
2022-11-03,220.09,214.25
2022-11-04,217.55,221.39
2022-11-07,221.99,227.87
2022-11-08,228.7,228.87
2022-11-09,227.37,224.51
2022-11-10,235.43,242.98
2022-11-11,242.99,247.11
2022-11-14,241.985,241.55
2022-11-15,245.66,241.97
2022-11-16,242.79,241.73
2022-11-17,237.78,241.68
2022-11-18,243.51,241.22
2022-11-21,241.43,242.05
2022-11-22,243.59,245.03
2022-11-23,245.105,247.58
2022-11-25,247.31,247.49
2022-11-28,246.08,241.76
2022-11-29,241.4,240.33
2022-11-30,240.57,255.14
2022-12-01,253.87,254.69
2022-12-02,249.82,255.02
2022-12-05,252.01,250.2
2022-12-06,250.82,245.12
2022-12-07,244.83,244.37
2022-12-08,244.84,247.4
2022-12-09,244.695,245.42
2022-12-12,247.445,252.51
2022-12-13,261.69,256.92
2022-12-14,257.13,257.22
2022-12-15,253.72,249.01
2022-12-16,248.55,244.69
2022-12-19,244.86,240.45
2022-12-20,239.4,241.8
2022-12-21,241.69,244.43
2022-12-22,241.255,238.19
2022-12-23,236.11,238.73
2022-12-27,238.7,236.96
2022-12-28,236.89,234.53
2022-12-29,235.65,241.01
2022-12-30,238.21,239.82
2023-01-03,243.08,239.58
2023-01-04,232.275,229.1
2023-01-05,227.2,222.31
2023-01-06,223.0,224.93
2023-01-09,226.45,227.12
2023-01-10,227.755,228.85
2023-01-11,231.29,235.77
2023-01-12,235.26,238.51
2023-01-13,237.002,239.23
2023-01-17,237.97,240.35
2023-01-18,241.565,235.81
2023-01-19,233.78,231.93
2023-01-20,234.855,240.22
2023-01-23,241.1,242.58
2023-01-24,242.5,242.04
2023-01-25,234.48,240.61
2023-01-26,243.65,248.0
2023-01-27,248.99,248.16
2023-01-30,244.51,242.71
2023-01-31,243.45,247.81
2023-02-01,248.0,252.75
2023-02-02,258.82,264.6
2023-02-03,259.542,258.35
2023-02-06,257.44,256.77
2023-02-07,260.53,267.56
2023-02-08,273.2,266.73
2023-02-09,273.8,263.62
2023-02-10,261.53,263.1
2023-02-13,267.64,271.32
2023-02-14,272.67,272.17
2023-02-15,268.32,269.32
2023-02-16,264.02,262.15
2023-02-17,259.39,258.06
2023-02-21,254.48,252.67
2023-02-22,254.09,251.51
2023-02-23,255.56,254.77
2023-02-24,249.96,249.22
2023-02-27,252.46,250.16
2023-02-28,249.07,249.42
2023-03-01,250.76,246.27
2023-03-02,246.55,251.11
2023-03-03,252.19,255.29
2023-03-06,256.425,256.87
2023-03-07,256.3,254.15
2023-03-08,254.04,253.7
2023-03-09,255.82,252.32
2023-03-10,251.08,248.59
2023-03-13,247.4,253.92
2023-03-14,256.75,260.79
2023-03-15,259.98,265.44
2023-03-16,265.205,276.2
2023-03-17,278.26,279.43
2023-03-20,276.98,272.23
2023-03-21,274.88,273.78
2023-03-22,273.4,272.29
2023-03-23,277.94,277.66
2023-03-24,277.24,280.57
2023-03-27,280.5,276.38
2023-03-28,275.79,275.23
2023-03-29,278.96,280.51
2023-03-30,284.23,284.05
2023-03-31,283.73,288.3
2023-04-03,286.52,287.23
2023-04-04,287.23,287.18
2023-04-05,285.85,284.34
2023-04-06,283.21,291.6
2023-04-10,289.208,289.39
2023-04-11,285.75,282.83
2023-04-12,284.79,283.49
2023-04-13,283.59,289.84
2023-04-14,287.0,286.14
2023-04-17,289.93,288.8
2023-04-18,291.57,288.37
2023-04-19,285.99,288.45
2023-04-20,285.25,286.11
2023-04-21,285.01,285.76
2023-04-24,282.09,281.77
2023-04-25,279.51,275.42
2023-04-26,296.7,295.37
2023-04-27,295.97,304.83
2023-04-28,304.01,307.26
2023-05-01,306.97,305.56
2023-05-02,307.76,305.41
2023-05-03,306.62,304.4
2023-05-04,306.24,305.41
2023-05-05,305.72,310.65
2023-05-08,310.13,308.65
2023-05-09,308.0,307.0
2023-05-10,308.62,312.31
2023-05-11,310.1,310.11
2023-05-12,310.55,308.97
2023-05-15,309.095,309.46
2023-05-16,309.83,311.74
2023-05-17,312.29,314.0
2023-05-18,314.53,318.52
2023-05-19,316.74,318.34
2023-05-22,318.6,321.18
2023-05-23,320.03,315.26
2023-05-24,314.73,313.85
2023-05-25,323.24,325.92
2023-05-26,324.02,332.89
2023-05-30,335.23,331.21
2023-05-31,332.29,328.39
2023-06-01,325.93,332.58
2023-06-02,334.247,335.4
2023-06-05,335.22,335.94
2023-06-06,335.33,333.68
2023-06-07,331.65,323.38
2023-06-08,323.935,325.26
2023-06-09,324.99,326.79
2023-06-12,328.58,331.85
2023-06-13,334.465,334.29
2023-06-14,334.34,337.34
2023-06-15,337.48,348.1
